Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,119.269997,119.830002,116.760002,118.389999,116.343872,9877100
2018-04-03,118.889999,119.989998,117.489998,119.199997,117.139862,7084800
2018-04-04,116.900002,120.120003,116.709999,119.809998,117.739311,8425700
2018-04-05,121.000000,122.010002,120.370003,121.190002,119.095467,6816000
2018-04-06,120.180000,120.559998,117.120003,117.699997,115.665802,8383800
2018-04-09,118.629997,120.669998,118.629997,118.790001,116.736954,7024800
2018-04-10,120.559998,121.160004,119.639999,120.720001,118.633583,8947200
2018-04-11,119.989998,121.660004,119.620003,119.779999,117.709839,5874900
2018-04-12,120.400002,121.980003,120.389999,121.070000,118.977547,5666000
2018-04-13,121.730003,122.470001,120.650002,120.750000,118.663086,9174300
2018-04-16,122.110001,122.870003,121.510002,121.879997,119.773544,6903200
2018-04-17,122.910004,124.260002,122.519997,123.800003,121.660370,5979600
2018-04-18,124.059998,124.870003,123.379997,124.480003,122.328613,5171000
2018-04-19,124.309998,124.720001,123.150002,123.959999,121.817589,7294100
2018-04-20,124.059998,124.820000,123.309998,124.199997,122.053452,7479400
2018-04-23,124.300003,124.970001,123.900002,124.459999,122.308952,8004300
2018-04-24,124.870003,125.040001,120.550003,121.269997,119.174080,9434400
2018-04-25,121.139999,121.349998,119.370003,121.209999,119.115128,8001200
2018-04-26,125.139999,127.589996,123.779999,127.080002,124.883675,14345800
2018-04-27,126.440002,127.059998,125.389999,126.010002,123.832169,6842700
2018-04-30,126.739998,127.900002,126.660004,126.879997,124.687126,8449200
2018-05-01,126.860001,127.570000,125.510002,127.510002,125.306244,6407300
2018-05-02,127.879997,128.100006,126.000000,126.379997,124.195778,8515300
2018-05-03,125.809998,127.459999,125.320000,127.180000,124.981949,6778600
2018-05-04,126.330002,128.360001,126.070000,128.160004,125.945007,5798400
2018-05-07,128.399994,129.520004,128.250000,129.259995,127.026001,5737300
2018-05-08,129.139999,129.970001,128.309998,129.899994,127.654938,5044700
2018-05-09,130.009995,131.000000,129.589996,130.839996,128.578674,6119400
2018-05-10,131.289993,131.750000,130.720001,131.000000,128.735962,6585800
2018-05-11,131.000000,132.089996,130.229996,131.820007,129.541733,5437100
2018-05-14,132.429993,132.500000,130.669998,131.210007,128.942307,5017000
2018-05-15,130.559998,131.399994,129.899994,131.100006,128.834183,5532300
2018-05-16,131.089996,131.399994,130.539993,130.889999,128.627823,5124200
2018-05-17,130.580002,130.800003,129.610001,129.929993,127.889595,4911700
2018-05-18,129.619995,130.339996,129.070007,129.929993,127.889595,6082700
2018-05-21,130.949997,131.509995,129.990005,130.660004,128.608139,5591800
2018-05-22,131.000000,131.779999,130.500000,130.710007,128.657349,6645500
2018-05-23,130.059998,131.910004,129.800003,131.880005,129.809006,6569100
2018-05-24,131.820007,132.210007,130.500000,131.889999,129.818832,6035200
2018-05-25,131.880005,132.100006,130.929993,131.279999,129.218399,7509600
2018-05-29,130.389999,131.050003,129.059998,129.690002,127.653381,10401900
2018-05-30,130.199997,131.100006,129.869995,130.639999,128.588470,10631300
2018-05-31,130.649994,131.580002,129.979996,130.720001,128.667191,11086000
2018-06-01,131.839996,132.509995,130.360001,130.850006,128.795151,8323400
2018-06-04,131.940002,133.570007,131.429993,133.070007,130.980286,7178000
2018-06-05,133.380005,133.619995,132.699997,133.559998,131.462570,6198200
2018-06-06,134.000000,136.309998,133.610001,136.279999,134.139893,8065800
2018-06-07,136.360001,136.580002,133.050003,133.839996,131.738190,8309200
2018-06-08,133.440002,134.919998,133.229996,134.740005,132.624054,5261000
2018-06-11,134.899994,135.190002,133.809998,133.910004,131.807114,7988700
2018-06-12,134.039993,135.130005,133.539993,134.860001,132.742172,5743300
2018-06-13,135.179993,135.770004,134.309998,134.399994,132.289429,4881600
2018-06-14,134.960007,135.699997,134.750000,135.000000,132.879974,6464100
2018-06-15,135.100006,135.729996,134.000000,135.100006,132.978424,10044500
2018-06-18,134.369995,136.309998,134.119995,136.199997,134.061111,8713300
2018-06-19,134.559998,135.240005,133.570007,135.110001,132.988251,6557600
2018-06-20,135.520004,136.690002,135.500000,135.500000,133.372147,7192000
2018-06-21,135.270004,136.119995,134.259995,134.529999,132.417389,8689800
2018-06-22,135.600006,135.850006,134.259995,135.330002,133.204803,6031900
2018-06-25,134.910004,134.910004,129.529999,130.929993,128.873871,10086200
2018-06-26,132.110001,133.789993,131.610001,132.550003,130.468460,7733900
2018-06-27,133.009995,133.660004,131.009995,131.020004,128.962494,7282100
2018-06-28,131.000000,133.119995,130.649994,132.740005,130.655457,6576500
2018-06-29,133.279999,134.190002,132.449997,132.449997,130.370041,7259000
2018-07-02,131.960007,133.050003,131.149994,132.500000,130.419250,7554400
2018-07-03,133.009995,133.410004,131.419998,131.449997,129.385742,3621600
2018-07-05,132.130005,133.330002,131.830002,133.289993,131.196838,4729300
2018-07-06,133.580002,134.279999,132.500000,134.089996,131.984283,4839800
2018-07-09,134.940002,135.970001,134.789993,135.520004,133.391815,8960700
2018-07-10,135.570007,137.330002,135.339996,136.690002,134.543427,6561900
2018-07-11,136.630005,138.809998,136.600006,138.149994,135.980484,10648700
2018-07-12,139.009995,139.949997,138.660004,139.899994,137.703033,11816100
2018-07-13,139.789993,140.029999,137.539993,139.419998,137.230560,7865700
2018-07-16,139.419998,139.550003,138.160004,138.460007,136.285675,4969900
2018-07-17,138.179993,139.910004,137.419998,139.639999,137.447098,5412600
2018-07-18,139.910004,141.169998,139.369995,140.899994,138.687332,7008600
2018-07-19,140.949997,140.990005,139.929993,140.130005,137.929428,7937000
2018-07-20,140.000000,141.470001,139.919998,140.990005,138.775940,7153600
2018-07-23,140.660004,140.970001,139.639999,140.029999,137.830963,7723600
2018-07-24,140.990005,141.470001,139.509995,140.029999,137.830963,8336700
2018-07-25,140.339996,142.770004,139.899994,142.639999,140.399994,8376000
2018-07-26,141.610001,142.789993,139.529999,142.500000,140.262192,10520800
2018-07-27,143.080002,143.139999,139.210007,140.710007,138.500320,7014900
2018-07-30,140.130005,140.419998,135.309998,136.479996,134.336731,12812400
2018-07-31,137.130005,138.020004,135.630005,136.740005,134.592667,7683300
2018-08-01,137.740005,138.740005,137.410004,138.250000,136.078949,7087700
2018-08-02,137.449997,139.190002,137.000000,138.919998,136.738434,12300000
2018-08-03,139.289993,139.860001,137.940002,139.820007,137.624313,4617500
2018-08-06,139.649994,140.259995,139.050003,139.710007,137.516006,5143000
2018-08-07,139.979996,140.690002,139.869995,140.279999,138.077087,10034500
2018-08-08,139.979996,140.990005,139.830002,140.679993,138.470764,5389500
2018-08-09,140.729996,141.240005,139.899994,140.009995,137.811295,5679300
2018-08-10,139.880005,140.740005,139.250000,139.729996,137.535690,6523500
2018-08-13,140.529999,141.240005,139.830002,140.210007,138.008179,4817500
2018-08-14,140.300003,140.990005,139.880005,140.759995,138.549545,5888700
2018-08-15,140.350006,140.690002,138.839996,139.919998,137.722717,5288400
2018-08-16,141.070007,141.490005,140.419998,140.649994,138.649338,5931700
2018-08-17,140.779999,141.710007,140.570007,141.330002,139.319672,7699600
2018-08-20,141.539993,141.600006,140.699997,140.940002,138.935226,4662200
2018-08-21,141.000000,141.460007,139.800003,140.039993,138.048019,6854300
2018-08-22,139.850006,141.529999,139.850006,141.139999,139.132370,4191700
2018-08-23,141.009995,142.449997,140.770004,142.100006,140.078705,4426800
2018-08-24,142.320007,144.380005,142.320007,144.199997,142.148849,5714000
2018-08-27,144.990005,145.600006,144.710007,145.399994,143.331802,7194900
